epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4676,1.71201,3.64413,1.31789,0.01699,0.14526,0.01388,0.01117,1.13642,3.52074,0.9587,0.00013336,0.00013336,0.00013336
2,75.8971,1.34823,3.25469,1.05748,0.0531,0.4523,0.05617,0.03932,1.18974,3.46243,0.9503,0.000277779,0.000277779,0.000277779
3,110.767,1.32628,2.86,1.00764,0.05772,0.48749,0.06882,0.05042,1.14614,3.31086,0.93957,0.000416257,0.000416257,0.000416257
4,152.846,1.37554,2.44642,0.98496,0.09989,0.57195,0.09193,0.06415,1.22386,3.15073,0.98476,0.000548793,0.000548793,0.000548793
5,189.017,1.37835,1.89966,0.98427,0.16653,0.65579,0.20417,0.143,1.27855,2.721,0.98514,0.000675388,0.000675388,0.000675388
6,225.982,1.3551,1.5313,0.96843,0.21667,0.70779,0.35707,0.23415,1.14881,2.27952,0.95106,0.000796043,0.000796043,0.000796043
7,262.453,1.28611,1.28746,0.96422,0.22623,0.73905,0.38146,0.24644,1.2199,1.88915,0.9812,0.000910755,0.000910755,0.000910755
8,297.889,1.24192,1.17609,0.95617,0.77505,0.39868,0.38805,0.2677,1.08854,1.52509,0.93929,0.00101953,0.00101953,0.00101953
9,335.344,1.2032,1.0918,0.94863,0.81278,0.37134,0.36627,0.23186,1.0834,1.24896,0.95332,0.00112236,0.00112236,0.00112236
10,372.279,1.13982,1.02929,0.94323,0.86085,0.40606,0.41051,0.28535,0.97881,1.05427,0.92404,0.00121925,0.00121925,0.00121925
11,407.68,1.10393,0.99689,0.94613,0.86489,0.4062,0.41728,0.28993,0.98408,1.1827,0.91777,0.0013102,0.0013102,0.0013102
12,445.038,1.14394,0.96164,0.93593,0.8225,0.40842,0.38691,0.25512,0.97916,1.63415,0.9489,0.00130393,0.00130393,0.00130393
13,480.89,1.1012,0.93444,0.9406,0.86691,0.40862,0.41883,0.29745,0.9261,1.23785,0.91803,0.00127092,0.00127092,0.00127092
14,516.594,1.08915,0.94221,0.93964,0.86756,0.4094,0.41652,0.28494,0.95101,1.20786,0.92076,0.00123791,0.00123791,0.00123791
15,554.396,1.0604,0.89688,0.92737,0.84477,0.41806,0.40129,0.25913,1.02355,1.20886,0.90462,0.00120491,0.00120491,0.00120491
16,588.816,1.02919,0.8464,0.92266,0.87428,0.41727,0.42916,0.31808,0.85143,1.03147,0.89408,0.0011719,0.0011719,0.0011719
17,624.597,0.97621,0.89802,0.91662,0.87065,0.40773,0.43071,0.30015,0.99048,1.10553,0.90647,0.00113889,0.00113889,0.00113889
18,660.2,0.98584,0.85577,0.92311,0.86879,0.41737,0.43343,0.31778,0.88188,1.10849,0.89912,0.00110589,0.00110589,0.00110589
19,694.821,0.96703,0.83849,0.91275,0.87077,0.41658,0.4338,0.31161,0.87558,1.08905,0.90124,0.00107288,0.00107288,0.00107288
20,731.04,1.00458,0.86529,0.92742,0.87324,0.40606,0.42148,0.29611,0.93649,1.0047,0.90395,0.00103987,0.00103987,0.00103987
21,767.478,0.96289,0.85741,0.91889,0.87325,0.40929,0.41389,0.31263,0.799,0.95523,0.88932,0.00100687,0.00100687,0.00100687
22,804.067,0.97775,0.81438,0.90755,0.87463,0.40606,0.41185,0.29278,0.88208,0.93522,0.89657,0.000973861,0.000973861,0.000973861
23,838.732,0.92858,0.8444,0.91076,0.87804,0.41008,0.41938,0.31318,0.81181,0.90862,0.88872,0.000940855,0.000940855,0.000940855
24,874.601,0.94883,0.82111,0.9128,0.87621,0.41609,0.4364,0.33119,0.79866,0.86181,0.89478,0.000907848,0.000907848,0.000907848
25,909.412,0.94536,0.7977,0.91561,0.30747,0.63326,0.45332,0.34531,0.79633,0.83283,0.88984,0.000874842,0.000874842,0.000874842
26,946.429,0.91873,0.75311,0.9003,0.88143,0.40872,0.45219,0.32916,0.86599,0.8143,0.89525,0.000841835,0.000841835,0.000841835
27,981.945,0.92054,0.79815,0.89603,0.30107,0.60958,0.45428,0.33184,0.90547,0.81688,0.88767,0.000808828,0.000808828,0.000808828
28,1017.56,0.96811,0.78818,0.89762,0.30731,0.618,0.45588,0.33927,0.84108,0.80868,0.88451,0.000775822,0.000775822,0.000775822
29,1053.86,0.93846,0.81185,0.90888,0.31125,0.63746,0.45661,0.3497,0.78845,0.79013,0.88198,0.000742815,0.000742815,0.000742815
30,1088.34,0.96841,0.82566,0.91404,0.29585,0.6394,0.4454,0.33283,0.85683,0.80686,0.9144,0.000709809,0.000709809,0.000709809
31,1125.52,0.95499,0.82009,0.9075,0.28824,0.61859,0.43471,0.31844,0.88034,0.81128,0.89268,0.000676802,0.000676802,0.000676802
32,1160.39,0.95831,0.78976,0.90859,0.30334,0.63392,0.44559,0.33517,0.80201,0.81059,0.88768,0.000643795,0.000643795,0.000643795
33,1197.66,0.96342,0.74386,0.88594,0.30961,0.6351,0.44632,0.3226,0.89566,0.83419,0.88668,0.000610789,0.000610789,0.000610789
34,1232.72,0.92252,0.77073,0.89583,0.29876,0.62085,0.45086,0.33626,0.81419,0.78075,0.87805,0.000577782,0.000577782,0.000577782
35,1268.25,0.93618,0.76808,0.9005,0.29378,0.67363,0.44704,0.35005,0.75154,0.75691,0.87341,0.000544776,0.000544776,0.000544776
36,1304.3,0.90943,0.76256,0.90106,0.30695,0.57314,0.44192,0.33672,0.82656,0.77063,0.88479,0.000511769,0.000511769,0.000511769
37,1341.8,0.90762,0.77726,0.90746,0.87873,0.41314,0.44087,0.34126,0.76714,0.75909,0.8746,0.000478762,0.000478762,0.000478762
